iter	Passed	Remaining
0	0	31
1	0	28
2	0	28
3	1	28
4	1	28
5	1	28
6	2	28
7	2	27
8	2	27
9	3	27
10	3	26
11	3	26
12	3	25
13	4	25
14	4	26
15	5	26
16	5	26
17	5	26
18	6	26
19	6	25
20	6	25
21	7	25
22	7	24
23	7	24
24	8	24
25	8	23
26	8	23
27	9	23
28	9	22
29	9	22
30	9	22
31	10	21
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	13	19
41	14	19
42	14	19
43	14	18
44	15	18
45	15	18
46	15	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	22	13
63	22	12
64	23	12
65	23	12
66	23	11
67	24	11
68	24	11
69	24	10
70	25	10
71	25	9
72	26	9
73	26	9
74	26	8
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	32	4
88	32	4
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
