iter	Passed	Remaining
0	60	60628
1	61	30508
2	61	20402
3	61	15346
4	61	12309
5	62	10285
6	64	9131
7	64	8033
8	65	7189
9	65	6495
10	66	5937
11	66	5468
12	66	5073
13	67	4739
14	68	4474
15	70	4332
16	70	4098
17	71	3900
18	72	3721
19	72	3556
20	73	3410
21	73	3271
22	73	3142
23	74	3027
24	74	2923
25	75	2827
26	76	2743
27	76	2654
28	76	2569
29	77	2493
30	77	2423
31	77	2356
32	78	2293
33	78	2235
34	79	2178
35	79	2128
36	80	2082
37	80	2045
38	81	2002
39	81	1960
40	82	1918
41	83	1895
42	83	1857
43	84	1825
44	84	1796
45	85	1769
46	85	1740
47	86	1708
48	86	1681
49	86	1652
50	87	1627
51	87	1602
52	88	1579
53	88	1557
54	89	1535
55	89	1512
56	90	1492
57	90	1469
58	90	1449
59	91	1430
60	91	1413
61	92	1393
62	92	1377
63	93	1360
64	93	1347
65	94	1332
66	94	1316
67	95	1302
68	95	1288
69	95	1272
70	96	1257
71	96	1244
72	96	1229
73	97	1217
74	97	1204
75	98	1193
76	98	1181
77	99	1170
78	99	1163
79	100	1153
80	100	1144
81	101	1135
82	101	1121
83	101	1111
84	102	1102
85	103	1094
86	103	1086
87	104	1077
88	104	1069
89	105	1062
90	105	1053
91	105	1046
92	106	1039
93	107	1032
94	107	1025
95	108	1018
96	108	1011
97	109	1003
98	109	997
99	109	989
100	110	981
101	110	975
102	111	967
103	111	959
104	111	951
105	111	943
106	112	936
107	112	928
108	112	921
109	112	914
110	113	907
111	113	900
112	113	893
113	114	886
114	114	879
115	114	873
116	114	866
117	115	860
118	115	854
119	115	848
120	116	844
121	116	838
122	117	834
123	117	829
124	117	823
125	118	818
126	118	812
127	118	808
128	120	816
129	121	814
130	122	811
131	122	808
132	125	815
133	125	809
134	125	804
135	125	799
136	126	794
137	127	799
138	128	796
139	129	793
140	130	795
141	130	789
142	132	795
143	133	793
144	134	791
145	135	790
146	135	786
147	136	783
148	136	781
149	137	778
150	137	774
151	138	771
152	138	767
153	138	763
154	139	761
155	140	758
156	140	754
157	141	752
158	141	750
159	142	747
160	142	744
161	144	745
162	144	742
163	145	739
164	145	736
165	145	733
166	146	731
167	147	728
168	147	726
169	148	723
170	148	721
171	149	719
172	149	716
173	150	713
174	150	710
175	151	707
176	151	704
177	151	701
178	152	698
179	152	695
180	153	692
181	153	689
182	153	687
183	154	683
184	154	681
185	154	678
186	155	675
187	156	674
188	156	672
189	157	669
190	157	666
191	157	664
192	158	661
193	158	659
194	159	657
195	159	654
196	160	652
197	160	649
198	160	647
199	161	645
200	162	644
201	162	642
202	163	640
203	163	637
204	163	635
205	164	633
206	164	630
207	165	628
208	165	626
209	165	623
210	166	621
211	166	619
212	166	616
213	167	614
214	167	611
215	167	609
216	168	607
217	168	605
218	168	602
219	169	600
220	169	597
221	169	595
222	170	593
223	170	590
224	170	588
225	171	586
226	171	584
227	171	582
228	172	580
229	172	578
230	173	576
231	173	574
232	173	572
233	174	570
234	174	568
235	175	566
236	175	565
237	176	563
238	176	561
239	176	560
240	177	558
241	177	556
242	177	554
243	178	552
244	178	550
245	178	548
246	179	547
247	179	545
248	180	543
249	181	543
250	181	541
251	181	539
252	182	537
253	182	535
254	182	533
255	184	535
256	184	533
257	185	532
258	185	530
259	185	529
260	186	527
261	186	526
262	187	524
263	187	523
264	188	521
265	188	520
266	189	518
267	189	517
268	189	516
269	190	514
270	190	512
271	190	511
272	191	509
273	191	508
